OBS;WAGE;HOURS;IQ;KWW;EDUC;MEDUC;FEDUC;EXPER;TENURE;AGE;MARRIED;BLACK;SOUTH;URBAN;SIBS;BRTHORD
68;600;40;120;45;15;12;NA;12;1;38;1;0;0;0;3;4
69;1366;38;122;38;12;12;NA;15;15;32;1;0;0;1;1;2
70;1643;48;117;48;18;12;18;8;2;33;1;0;0;1;2;2
71;1455;40;109;44;16;8;8;8;13;36;1;0;0;1;1;2
72;2310;40;114;55;18;12;16;12;7;38;1;0;0;1;2;NA
73;1682;45;126;40;16;12;16;10;11;31;1;0;0;1;1;1
74;1235;40;82;45;12;11;11;10;2;33;1;0;0;1;1;1
75;855;45;119;45;16;12;9;11;4;32;1;0;0;1;3;1
76;1072;42;104;37;16;12;6;6;8;35;1;0;0;1;2;2
77;1040;40;115;49;15;NA;11;8;15;35;1;0;0;1;3;4
78;1000;50;97;45;12;12;12;17;15;36;1;0;0;1;1;2
79;675;40;105;27;15;14;12;8;2;31;1;0;0;0;3;NA
80;1100;37;100;32;12;7;7;14;1;30;1;0;0;1;1;2
81;996;50;114;41;12;12;10;5;14;31;1;0;0;1;2;1
82;732;40;73;28;10;NA;NA;17;5;36;1;0;0;1;5;6
83;1200;40;96;48;11;8;8;15;3;37;1;0;0;1;4;3
84;1694;30;113;30;15;12;16;9;8;29;0;0;0;1;3;1
85;686;55;106;38;10;14;10;15;3;36;1;0;1;1;4;5
86;754;40;104;37;13;8;NA;9;5;32;1;0;0;1;1;2
87;857;35;80;39;10;NA;12;14;15;33;1;0;0;1;2;1
88;832;50;104;30;13;12;8;4;2;30;1;0;0;1;1;2
89;579;44;122;36;13;16;16;8;1;30;1;0;0;0;4;1
90;672;61;96;38;12;12;13;13;3;34;1;0;0;1;2;NA
91;2500;40;95;51;15;16;16;12;9;36;1;0;0;1;3;1
92;1076;45;105;24;12;16;17;5;8;31;0;0;0;1;1;1
93;750;40;94;18;12;8;8;16;3;37;1;1;0;1;7;3
94;1186;30;91;41;17;12;14;8;9;33;1;0;0;1;1;1
95;833;48;96;37;16;12;14;9;7;31;1;0;0;1;4;4
96;650;40;69;37;12;10;9;14;11;30;1;1;0;1;3;4
97;1250;46;110;37;12;NA;12;5;16;38;1;0;0;0;1;1
98;1122;48;111;44;15;9;12;12;9;31;1;0;0;1;3;1
99;865;40;110;35;16;9;12;1;11;31;1;0;0;1;3;1
100;808;40;97;37;16;9;12;10;7;29;1;0;0;1;3;3
101;1299;60;125;44;18;8;8;6;12;35;0;0;0;1;1;2
102;903;40;91;39;12;9;10;6;12;36;1;0;0;1;5;4
103;900;40;86;28;12;8;10;17;15;37;1;0;0;1;5;3
104;625;40;110;32;12;9;8;18;0;35;1;0;0;1;4;1
105;1586;40;92;47;14;12;NA;16;1;36;1;0;1;1;4;4
106;962;40;85;41;10;9;12;15;16;38;1;0;0;1;1;2
107;1539;45;120;36;17;8;8;7;8;34;1;0;0;1;1;1
108;1110;52;106;42;12;12;12;11;6;33;1;0;0;0;5;2
109;1282;45;112;41;16;12;12;6;6;31;0;0;1;1;2;2
110;770;48;91;39;12;10;8;13;2;38;1;0;0;1;1;2
111;1000;45;90;42;12;10;12;16;0;38;1;0;0;1;6;3
112;895;40;86;39;9;NA;12;17;16;38;1;1;0;0;2;NA
113;1205;40;86;32;10;8;NA;13;0;32;1;1;0;1;5;5
114;750;40;113;27;12;12;12;11;10;29;1;0;0;0;1;NA
115;654;50;111;51;13;12;9;5;16;38;1;0;0;1;3;3
116;601;48;111;30;12;12;12;15;3;33;1;0;0;1;0;1
117;600;40;106;32;13;8;7;10;11;28;1;0;0;1;6;NA
118;433;40;98;28;12;12;11;11;10;30;0;0;0;1;1;1
119;1188;40;105;28;12;12;10;11;7;30;1;0;0;1;3;1
120;635;40;105;29;12;10;NA;15;15;33;1;0;0;0;2;2
121;1225;40;118;44;13;12;9;9;14;32;1;0;0;1;0;1
122;1151;45;90;38;12;12;8;19;19;36;1;0;0;1;1;1
123;865;40;95;34;12;9;8;15;11;32;0;0;0;1;3;1
124;1031;40;112;24;14;12;12;9;5;29;1;0;0;1;4;2
125;1049;55;120;39;12;12;10;9;11;32;1;0;0;1;3;2
126;1000;45;123;41;12;12;10;12;1;29;1;0;0;1;3;3
127;1105;40;103;32;13;16;15;10;11;30;1;0;0;1;1;1
128;1924;50;121;40;18;16;18;11;7;35;1;0;0;1;3;1
129;1346;40;90;44;16;12;12;9;16;38;1;0;0;1;1;1
130;809;65;125;32;12;12;12;11;10;29;1;0;0;1;0;1
131;1495;45;109;34;18;9;8;10;3;32;1;0;0;1;3;1
132;1346;50;128;46;16;10;9;10;1;33;0;0;0;0;3;1
133;1200;40;97;35;12;12;12;10;4;31;1;0;0;1;3;1
134;500;40;96;35;12;12;12;6;0;33;1;0;1;1;4;4
135;1325;45;97;44;12;12;8;12;5;28;1;0;0;1;1;2
136;900;40;78;21;12;7;6;16;5;33;1;1;0;1;4;1
137;800;40;112;39;12;7;NA;15;3;34;1;0;0;1;6;4
138;800;40;88;32;12;2;5;16;7;38;1;0;0;1;3;2
139;1034;40;97;39;12;14;11;15;16;36;1;0;0;1;14;10
140;980;40;101;41;12;6;9;4;12;36;1;0;0;1;1;NA
141;884;40;106;42;10;7;10;19;12;34;1;0;0;1;2;1
142;480;40;59;28;10;8;6;11;5;34;0;0;0;1;0;1
143;923;40;105;54;18;12;12;7;14;34;1;0;0;1;1;1
144;513;45;119;30;17;12;8;8;5;31;0;0;0;1;1;1
145;1105;40;93;36;11;8;8;17;16;37;0;0;0;1;2;2
146;1193;50;82;38;12;12;NA;19;10;36;1;0;1;1;0;1
147;2771;50;134;45;18;16;16;6;7;34;1;0;0;1;4;3
148;779;40;84;29;12;8;12;9;6;30;1;0;0;1;0;1
149;950;60;98;36;11;12;12;13;6;31;1;0;0;1;2;1
150;1394;40;118;41;16;13;12;11;8;30;1;0;0;0;2;1
151;1495;45;113;50;17;12;8;13;9;33;1;0;0;1;3;3
152;650;40;100;18;12;9;11;4;3;28;1;0;0;1;6;2
153;670;40;93;27;13;12;12;9;5;29;1;0;0;1;2;NA
154;1126;40;119;30;16;12;10;5;8;32;1;0;0;1;1;1
155;450;64;67;19;12;11;4;11;1;33;0;1;0;1;6;1
156;1028;40;111;28;12;12;NA;19;12;37;1;1;1;1;3;4
157;2404;50;106;38;15;12;12;8;0;32;1;0;0;1;2;1
158;1899;40;127;49;18;10;NA;9;14;36;0;0;0;1;0;1
159;757;40;113;35;16;12;12;10;9;33;1;0;0;1;2;1
160;1250;40;115;36;14;12;12;9;1;29;1;0;0;1;2;2
161;1162;48;102;40;16;12;NA;8;11;31;1;0;0;1;3;2
162;1025;40;85;29;15;14;12;9;13;29;1;1;0;1;6;1
163;1100;50;117;51;16;12;10;11;12;32;1;0;0;0;0;1
164;714;35;125;34;16;10;10;7;5;28;1;0;0;1;4;1
165;1318;35;118;47;16;8;12;16;17;37;1;0;0;0;1;1
166;1411;45;121;40;18;12;16;14;3;38;1;0;0;1;3;2
167;2162;40;115;51;17;12;12;4;4;38;1;0;0;1;1;1
168;1273;55;120;44;14;12;NA;11;16;36;1;0;0;0;1;1
169;1140;48;109;43;12;11;6;16;15;35;1;0;0;1;2;2
170;578;40;109;28;13;12;11;7;4;30;0;0;0;1;1;NA
171;942;40;85;36;12;NA;NA;7;10;38;1;0;0;1;4;5
172;1058;40;85;50;12;12;NA;17;8;38;1;0;0;0;4;1
173;750;40;106;32;14;11;10;9;9;29;1;0;0;1;1;2
174;1000;60;101;30;12;10;10;11;6;30;1;0;0;1;3;1
175;951;60;116;40;12;12;9;9;7;30;1;0;0;1;4;5
176;635;47;91;24;12;7;7;13;2;31;1;0;0;1;2;2
177;1250;40;91;28;12;11;5;13;1;34;1;0;0;1;3;1
178;675;40;110;34;12;7;NA;6;15;34;1;0;0;1;2;1
179;400;40;75;33;12;7;12;11;6;32;1;0;0;1;4;NA
180;577;50;94;17;12;12;8;9;8;29;1;0;0;1;2;NA
181;590;40;109;27;13;12;12;10;7;29;1;0;0;0;2;2
182;923;50;122;38;16;8;8;10;10;31;1;0;0;0;1;2
183;1250;50;102;26;12;11;8;6;2;32;0;0;0;1;4;2
184;1100;40;122;38;14;8;10;11;8;33;1;0;0;1;2;3
185;1130;50;105;38;12;10;10;18;2;37;1;0;0;1;4;2
186;652;50;113;37;12;9;9;14;4;36;0;0;0;1;1;2
187;618;42;104;34;12;8;12;6;2;30;1;0;0;1;3;2
188;962;50;124;43;16;9;11;7;14;34;1;0;0;1;2;2
189;529;40;110;31;13;12;8;14;11;32;1;0;0;0;1;1
190;817;40;95;37;12;12;12;16;14;33;1;0;0;0;2;1
191;962;40;120;39;16;18;NA;8;9;32;1;0;0;0;0;1
192;840;40;105;39;12;12;8;19;15;38;1;0;0;0;3;1
193;866;40;121;30;16;12;12;7;4;28;1;0;0;0;1;NA
194;2404;50;96;42;14;8;10;1;1;36;1;0;0;1;5;5
195;1126;40;110;26;12;9;12;16;2;32;1;0;0;1;6;1
196;1160;40;92;32;12;12;11;8;8;31;1;0;0;0;4;1
197;723;40;98;34;12;9;NA;15;5;38;1;0;0;1;1;1
198;1778;40;109;43;16;11;12;14;13;36;1;0;0;1;0;1
199;1903;48;118;44;18;11;11;13;5;36;1;0;0;0;0;1
200;1010;40;97;42;18;14;NA;7;14;34;1;0;0;1;4;5
201;971;40;95;42;17;16;8;5;11;37;1;0;0;1;1;2
202;525;40;99;40;12;10;8;9;2;34;1;0;0;1;2;1
203;525;40;106;31;12;10;12;12;13;30;1;0;0;0;1;1
204;670;45;117;33;12;12;NA;10;3;30;1;0;0;0;5;2
205;500;45;90;47;12;12;6;19;4;37;1;0;0;0;0;1
206;1058;45;98;45;14;NA;NA;14;15;34;1;0;0;0;2;3
207;550;46;95;44;12;12;11;18;15;35;1;0;0;1;1;1
208;500;45;115;43;12;12;11;14;1;32;1;0;0;1;1;2
209;727;55;106;40;15;12;12;10;5;31;0;0;0;1;1;NA
210;865;40;114;26;12;8;8;6;8;30;1;0;0;0;2;3
211;1081;40;92;34;13;12;10;8;2;30;1;0;1;1;3;4
212;1304;45;119;36;17;13;12;9;9;31;1;0;0;0;1;1
213;575;40;85;32;13;13;12;6;1;30;1;0;0;0;1;2
214;623;45;98;34;16;12;12;7;1;30;1;0;0;0;3;1
215;515;45;114;30;13;12;12;8;10;28;1;0;0;0;3;2
216;1273;55;84;42;18;8;12;14;4;37;1;0;0;1;1;1
217;990;40;108;42;13;16;16;13;9;33;1;0;0;0;4;1
218;600;40;107;32;12;8;4;16;6;33;1;0;0;0;5;6
219;1160;40;84;35;12;16;12;17;2;38;1;0;0;0;4;2
220;500;55;86;22;12;10;12;11;9;29;1;0;0;0;5;5
221;795;45;88;27;12;10;12;17;18;35;1;0;0;0;2;2
222;500;50;97;34;11;NA;NA;20;3;37;1;0;0;0;2;1
223;740;50;84;31;10;NA;9;23;13;38;1;0;0;0;5;1
224;1250;40;117;45;16;12;14;10;7;33;1;0;0;1;1;1
225;1014;55;110;42;16;12;14;13;9;30;0;0;0;1;1;2
226;1250;32;104;32;13;9;NA;13;3;33;1;0;0;1;3;3
227;913;40;110;26;14;9;NA;4;13;29;1;0;0;1;3;4
228;1346;40;99;33;16;11;12;9;8;30;1;0;0;1;2;NA
229;445;40;80;31;10;NA;NA;19;0;38;1;0;0;0;5;5
230;265;40;101;43;12;NA;NA;18;2;37;1;0;0;1;1;2
231;1250;40;117;31;14;12;12;7;1;28;1;0;0;1;1;2
232;1607;56;108;41;13;NA;NA;7;9;36;1;0;0;1;2;1
233;1452;35;69;33;16;10;10;12;15;38;1;1;0;1;7;6
234;1391;50;109;38;12;11;9;14;8;32;1;1;1;1;1;2
235;821;45;85;39;16;8;8;8;2;32;1;0;0;1;5;6
236;794;40;114;36;16;11;9;9;7;29;1;0;0;1;1;2
237;500;30;90;46;13;NA;NA;10;1;38;1;0;0;0;4;3
238;520;50;107;30;18;12;14;6;3;29;1;0;0;0;10;1
239;1730;50;117;41;18;12;8;12;12;37;1;0;0;1;1;2
240;1924;50;112;47;18;16;18;9;10;38;1;0;0;1;6;1
241;1155;60;106;46;18;14;18;10;2;37;1;0;0;1;3;3
242;2162;40;116;38;15;12;17;9;4;31;1;0;0;1;2;1
243;923;50;123;44;14;8;NA;8;7;31;1;0;0;1;1;2
244;1115;40;118;40;16;8;NA;12;13;33;1;0;0;1;1;1
245;449;36;91;20;12;NA;NA;7;2;30;0;0;0;1;1;NA
246;1500;40;103;29;12;12;7;10;11;34;1;0;0;1;2;3
247;826;40;114;40;14;8;6;20;3;37;1;0;0;1;4;4
248;937;40;102;36;12;12;6;16;8;35;1;0;0;1;3;2
249;978;48;104;36;12;6;NA;19;15;36;1;0;0;1;5;6
250;1031;40;112;43;14;14;12;14;12;33;0;0;0;1;6;6
251;1272;40;107;39;12;12;12;10;1;30;1;0;0;1;4;3
252;1136;50;117;36;14;12;12;16;12;34;1;0;1;1;2;3
253;800;45;110;36;12;NA;NA;19;12;36;1;0;0;1;7;8
254;1339;38;96;42;12;12;11;8;9;33;1;0;0;1;0;1
255;1063;40;90;38;12;8;12;14;12;32;1;1;0;1;2;2
256;935;44;97;27;12;8;7;10;6;29;1;0;0;1;2;2
257;808;40;99;40;12;9;8;18;13;38;1;1;0;1;0;1
258;375;40;99;29;10;8;5;12;2;30;1;0;1;0;3;2
259;537;40;97;32;12;11;NA;14;8;31;0;1;0;1;2;1
260;1082;55;95;40;12;11;NA;11;4;29;1;1;0;1;2;2
261;930;40;126;44;14;8;NA;10;1;31;0;0;0;1;3;NA
262;1155;40;109;49;17;12;8;13;4;38;1;0;0;0;3;3
263;548;40;86;22;11;11;NA;7;0;33;1;1;0;1;5;2
264;622;45;119;48;16;12;12;12;1;33;1;0;0;1;0;1
265;841;40;102;38;16;12;12;10;1;29;1;0;0;1;3;1
266;769;55;105;45;18;9;5;7;15;38;0;0;0;1;2;3
267;587;38;117;40;17;12;NA;8;5;29;1;0;0;0;3;3
268;1924;45;112;40;16;12;12;17;18;38;1;0;0;1;1;1
269;1058;40;89;28;12;8;6;7;3;29;1;0;0;1;2;NA
270;417;48;131;39;12;12;6;7;1;28;0;0;0;1;1;2
271;1202;48;114;28;16;16;16;6;6;28;1;0;0;1;3;3
272;1154;40;98;35;14;10;14;18;2;37;1;0;0;1;1;NA
273;1070;40;124;41;13;NA;NA;4;9;32;1;0;0;1;0;1
274;1202;40;125;30;14;12;12;10;11;29;1;0;0;1;2;3
275;711;45;100;38;18;10;16;13;3;36;1;0;0;1;1;NA
276;1202;40;84;21;14;11;9;6;5;31;1;1;0;1;2;1
277;850;43;113;26;12;8;12;7;3;28;1;0;0;1;1;2
278;1000;40;102;46;16;10;12;13;11;35;1;0;0;1;6;2
279;490;49;82;33;18;12;9;7;8;31;0;0;0;1;2;NA
280;1000;40;112;47;14;12;10;15;4;35;1;0;0;1;4;1
281;865;40;111;38;16;8;5;11;4;31;1;0;1;1;4;5
282;1375;40;96;24;13;11;8;3;3;30;1;0;0;1;3;1
283;1586;40;127;48;16;16;16;16;12;37;1;0;0;1;4;4
284;1602;65;97;47;15;8;NA;14;14;37;1;0;0;1;1;1
285;3078;65;120;50;14;12;NA;12;13;36;1;0;1;1;1;2
286;898;40;101;41;16;16;14;7;9;35;0;0;0;1;3;4
287;906;40;120;40;14;12;12;16;2;37;1;0;0;1;5;1
288;952;40;99;34;13;8;10;10;10;31;1;1;0;1;1;1
289;571;40;78;33;13;8;9;10;1;29;0;1;0;1;5;5
290;445;45;110;23;12;5;11;15;13;32;0;0;0;1;2;2
291;289;40;94;35;12;5;11;9;0;30;1;0;0;1;2;3
292;1444;40;120;50;16;17;13;12;15;37;1;0;0;1;1;2
293;962;55;108;45;12;8;8;19;21;36;1;0;0;1;3;1
294;1075;40;103;31;12;11;11;17;10;33;1;0;0;1;13;3
295;909;55;97;39;11;NA;NA;17;5;35;1;0;0;1;7;3
296;1250;40;106;36;12;11;13;14;19;35;1;0;0;1;4;1
297;620;40;99;22;11;NA;NA;10;5;29;1;1;0;1;11;5
298;1016;40;72;18;10;11;NA;14;15;37;1;1;0;1;8;9
299;800;40;88;29;10;11;8;21;14;37;1;1;0;1;8;1
300;1050;40;119;37;16;12;13;7;18;37;0;0;0;1;2;2
301;1079;50;87;33;12;8;NA;18;9;36;1;0;0;1;5;5
302;654;50;121;49;17;11;12;12;13;34;1;0;0;1;1;2
303;781;50;112;33;12;12;8;8;10;30;1;0;0;1;2;2
304;1038;48;103;36;15;12;15;8;2;36;1;0;1;0;2;1
305;1924;50;99;48;16;16;18;16;14;37;1;0;0;1;0;1
306;1202;40;101;40;15;12;12;15;17;37;1;0;0;1;3;2
307;666;70;117;34;15;NA;NA;8;2;32;1;0;0;1;0;1
308;905;45;109;41;14;8;8;11;14;36;1;0;0;1;3;4
309;890;70;73;46;12;12;12;6;8;31;1;0;0;1;3;1
310;817;40;116;27;16;16;16;10;7;31;1;0;1;0;1;2
311;812;40;98;42;12;12;12;10;2;29;0;0;0;1;3;2
312;577;60;104;43;14;14;12;6;2;30;1;0;1;1;2;3
313;756;40;78;29;14;12;12;9;2;31;1;0;0;1;2;2
314;1011;40;104;43;12;NA;NA;20;7;37;1;0;1;1;0;1
315;1155;45;85;39;12;12;12;14;1;34;1;0;0;1;2;1
316;1025;40;104;25;12;12;10;12;7;29;1;0;0;1;3;4
317;1350;40;107;37;12;NA;NA;17;12;35;1;0;0;0;2;3
318;1001;40;109;48;12;8;10;20;22;37;1;0;0;1;1;1
319;796;48;119;31;13;11;NA;16;15;37;1;1;0;1;7;1
320;1230;50;96;33;13;10;11;11;12;30;1;0;0;1;3;2
321;754;40;93;31;12;NA;NA;13;1;30;1;0;0;1;5;NA
322;714;40;90;32;12;12;12;17;1;37;1;0;0;0;5;3
323;1000;45;103;29;15;12;NA;8;3;32;1;0;0;1;3;4
324;2067;40;106;41;16;14;12;12;13;33;1;0;1;1;2;1
325;912;40;96;32;16;14;12;11;5;30;1;0;0;1;2;2
326;600;40;114;39;12;8;8;8;5;30;1;0;1;1;6;3
327;951;40;86;33;11;9;NA;13;1;31;1;0;0;1;3;4
328;711;45;110;38;16;13;12;8;5;32;1;0;1;1;3;2
329;1151;48;87;41;12;12;12;18;9;38;1;0;0;1;2;1
330;1000;40;89;31;12;13;12;9;5;28;1;0;0;1;2;3
331;841;44;106;40;12;8;NA;15;10;31;1;0;0;1;5;6
332;400;70;100;43;12;5;8;12;3;32;1;0;0;1;3;2
333;1175;45;111;38;12;16;4;17;14;34;1;0;0;1;0;1
334;1202;40;100;40;12;12;12;18;2;37;1;0;0;1;0;1
335;1442;40;114;38;12;12;10;16;17;33;1;0;0;1;2;3
336;538;55;98;45;18;13;NA;5;1;34;1;0;0;1;2;2
337;781;40;89;24;11;9;8;13;10;30;1;0;0;1;3;1
338;750;60;74;23;10;11;9;13;9;30;1;0;0;1;4;2
339;841;48;110;37;18;12;12;13;1;37;0;1;0;1;1;1
340;700;50;130;29;13;11;14;14;1;38;1;0;0;1;1;2
341;1346;50;108;51;16;12;10;9;4;36;1;0;0;1;1;2
342;800;45;98;31;12;10;8;16;12;33;1;0;0;0;3;4
343;1250;40;125;27;16;16;NA;9;10;30;1;0;0;1;3;1
344;1105;40;104;29;16;12;12;5;8;29;1;0;0;1;3;1
345;475;52;98;33;14;8;10;12;1;30;0;0;0;1;6;1
346;762;58;104;37;15;11;12;6;4;33;1;0;0;0;2;1
347;962;40;120;33;12;8;8;18;19;36;1;0;0;1;3;NA
348;721;40;134;38;13;8;8;9;9;30;0;0;1;1;3;3
349;800;50;92;28;9;8;8;18;13;34;1;0;0;1;0;1
350;658;40;129;34;16;13;16;11;9;30;1;0;0;1;2;1
351;1270;40;118;42;14;12;12;4;16;36;1;0;0;1;2;1
352;1313;40;107;37;12;12;NA;11;7;28;1;0;0;0;1;NA
353;824;42;92;37;12;12;11;19;15;38;1;0;0;1;1;1
354;1442;40;118;33;16;16;12;6;7;29;1;0;0;1;2;1
355;1400;42;108;38;17;12;14;7;3;31;1;0;0;1;2;1
356;1038;50;119;42;12;12;8;20;5;36;1;0;0;0;3;3
357;668;43;109;29;12;8;7;11;12;29;1;0;0;0;2;3
358;1100;40;91;41;12;8;8;18;10;36;1;0;0;0;2;3
359;1000;45;118;38;14;12;10;9;7;30;1;0;0;1;3;1
360;523;43;119;37;13;14;NA;9;2;30;1;0;0;0;4;1
361;1111;40;103;33;14;14;12;13;13;31;1;0;0;0;6;3
362;962;40;120;25;16;12;8;6;4;28;1;0;0;0;4;3
363;729;47;122;40;18;8;6;6;13;34;1;0;0;1;3;3
364;690;40;119;35;12;8;NA;9;5;28;1;0;0;1;1;2
365;1010;50;104;37;11;9;6;15;7;38;1;0;0;0;6;1
366;600;40;96;22;11;8;8;7;2;29;1;0;1;1;4;3
367;596;40;83;36;12;8;8;16;17;34;1;0;0;0;3;3
368;850;44;115;37;12;NA;NA;11;1;29;1;0;0;1;3;2
369;670;40;88;27;12;10;8;9;2;29;1;0;0;1;7;3
370;793;40;96;43;12;8;8;17;18;36;1;0;0;0;4;5
371;1442;40;123;42;17;12;6;14;7;38;1;0;1;0;2;3
372;670;50;108;43;12;11;7;14;8;34;1;0;1;1;5;1
373;876;45;116;35;16;12;12;10;8;29;1;0;0;1;2;1
374;841;40;109;45;18;16;12;13;2;36;1;0;0;0;3;4
375;975;40;97;39;13;12;12;8;0;31;1;0;0;1;3;1
376;1223;40;107;34;12;12;10;7;3;28;1;0;0;0;1;1
377;910;30;95;27;12;12;14;16;5;35;1;0;1;1;2;3
378;533;45;109;31;15;15;12;8;2;30;1;0;0;1;2;2
379;750;40;104;36;12;12;12;15;11;33;1;0;0;0;0;1
380;1206;40;110;37;12;12;12;16;4;38;1;0;0;1;1;1
381;745;40;94;40;13;13;8;17;1;36;0;0;0;0;2;3
382;900;40;103;38;12;8;6;15;1;37;1;0;1;0;3;3
383;1170;47;123;45;14;8;12;9;14;32;1;0;0;1;3;4
384;540;50;113;33;12;6;12;12;3;31;1;0;0;0;5;4
385;550;40;110;35;16;NA;NA;15;1;38;1;0;0;0;2;1
386;615;40;100;31;14;12;12;9;4;30;1;0;0;0;3;3
387;909;40;95;39;13;12;12;6;2;31;1;0;0;1;2;1
388;769;40;100;34;12;8;8;18;12;36;1;0;0;0;1;2
389;984;40;108;39;13;15;8;17;18;37;1;0;0;1;4;1
390;833;60;101;47;12;12;NA;15;12;37;1;0;0;1;5;2
391;879;70;90;43;12;12;16;17;10;35;0;0;0;1;1;2
392;1027;45;115;41;12;8;5;16;7;35;1;0;0;1;4;3
393;1000;55;114;41;16;NA;NA;10;1;33;1;0;1;0;0;1
394;465;43;84;33;13;11;11;10;1;29;1;0;0;1;3;3
395;1100;40;92;37;13;12;NA;21;12;38;1;1;0;1;6;6
396;641;45;125;44;14;12;11;9;0;37;1;0;0;1;1;1
397;1035;48;107;42;12;11;8;21;14;38;1;0;0;1;1;2
